POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
90000005,CY,YES,NO,NO,NO,18,26,37,37,Yes,2009,loam,silty loam
90000004,CY,YES,NO,NO,NO,10,22,55,23,Yes,2009,sandy clay loam,loam
90000003,CY,YES,NO,NO,NO,23,26,46,29,Yes,2009,sandy clay loam,silty loam
90000002,CY,YES,NO,NO,NO,3,56,19,25,Yes,2009,clay,clay
90000001,CY,YES,NO,NO,NO,5,43,20,38,Yes,2009,clay,silty clay
64981672,CY,YES,NO,YES,YES,23,34,25,41,Yes,2009,clay loam,silty clay loam
64961676,CY,YES,NO,YES,YES,4,10,84,6,Yes,2009,loamy sand,sandy loam
64901672,CY,NO,NO,YES,YES,4,34,43,23,Yes,2015,clay loam,clay loam
64901670,CY,YES,NO,NO,NO,13,36,48,16,Yes,2009,sandy clay,clay
64901668,CY,NO,NO,YES,YES,3,32,39,28,Yes,2015,clay loam,silty clay loam
64881666,CY,NO,NO,YES,YES,15,50,23,27,Yes,2015,clay,silty clay
64881664,CY,YES,NO,NO,NO,17,27,42,30,Yes,2009,loam,silty clay loam
64841674,CY,YES,NO,NO,NO,7,26,62,12,Yes,2009,sandy clay loam,clay loam
64841670,CY,YES,NO,YES,YES,3,4,86,9,Yes,2009,loamy sand,loamy sand
64841666,CY,YES,NO,YES,YES,11,32,49,19,Yes,2009,sandy clay loam,clay loam
64821674,CY,YES,NO,NO,NO,10,29,38,33,Yes,2009,clay loam,silty clay loam
64821668,CY,NO,NO,YES,YES,4,46,24,30,Yes,2015,clay,silty clay
64801668,CY,NO,NO,YES,YES,11,46,26,28,Yes,2015,clay,silty clay
64661660,CY,NO,NO,YES,YES,8,22,43,35,Yes,2015,loam,silty loam
64661656,CY,NO,NO,YES,YES,8,20,57,23,Yes,2015,sandy loam,loam
64661640,CY,YES,NO,NO,NO,13,9,75,16,Yes,2009,sandy loam,loamy sand
64641662,CY,YES,NO,NO,NO,26,25,34,40,Yes,2009,loam,silty loam
64641642,CY,YES,NO,NO,NO,25,35,15,50,Yes,2009,silty clay loam,silty clay loam
64641640,CY,NO,NO,YES,YES,11,35,23,42,Yes,2015,clay loam,silty clay loam
64621658,CY,YES,NO,YES,YES,22,29,24,47,Yes,2009,clay loam,silty clay loam
64621644,CY,YES,NO,YES,YES,12,32,26,42,Yes,2009,clay loam,silty clay loam
64601644,CY,NO,NO,YES,YES,25,44,16,40,Yes,2015,clay,silty clay
64601638,CY,YES,NO,YES,YES,15,33,27,39,Yes,2009,clay loam,silty clay loam
64601636,CY,NO,NO,NO,YES,,,,,No,,,
64581660,CY,NO,NO,YES,YES,13,25,39,36,Yes,2015,loam,silty loam
64581636,CY,YES,NO,NO,NO,20,19,47,34,Yes,2009,loam,silty loam
64561634,CY,NO,NO,YES,YES,13,22,42,36,Yes,2015,loam,silty loam
64541646,CY,YES,NO,YES,YES,48,24,23,53,Yes,2009,silt loam,silty loam
64541644,CY,NO,NO,YES,NO,11,27,24,49,Yes,2015,loam,silty clay loam
64521650,CY,YES,NO,NO,NO,16,25,24,51,Yes,2009,silt loam,silty loam
64501650,CY,NO,NO,YES,YES,20,17,55,28,Yes,2015,sandy loam,silty loam
64501646,CY,YES,NO,NO,NO,36,7,74,19,Yes,2009,sandy loam,loamy sand
64501634,CY,YES,NO,NO,NO,15,23,28,49,Yes,2009,loam,silty loam
64481650,CY,YES,NO,YES,NO,27,20,48,32,Yes,2009,loam,silty loam
64481628,CY,YES,NO,NO,NO,14,21,41,38,Yes,2009,loam,silty loam
64461636,CY,YES,NO,NO,NO,22,27,29,44,Yes,2009,loam,silty clay loam
64461632,CY,NO,NO,YES,YES,14,25,41,34,Yes,2015,loam,silty loam
64441660,CY,YES,NO,NO,NO,12,9,67,24,Yes,2009,sandy loam,loamy sand
64441626,CY,YES,NO,YES,YES,21,29,23,48,Yes,2009,clay loam,silty clay loam
64421628,CY,YES,NO,YES,YES,18,26,28,46,Yes,2009,loam,silty loam
64401660,CY,NO,NO,YES,NO,14,14,68,18,Yes,2015,sandy loam,loam
64401628,CY,NO,NO,YES,YES,16,37,18,45,Yes,2015,silty clay loam,silty clay loam
64401626,CY,YES,NO,NO,NO,29,28,25,47,Yes,2009,clay loam,silty clay loam
64401622,CY,YES,NO,YES,YES,21,26,20,53,Yes,2009,silt loam,silty loam
64361642,CY,YES,NO,NO,NO,36,34,30,36,Yes,2009,clay loam,silty clay loam
64341644,CY,NO,NO,YES,YES,30,10,69,21,Yes,2015,sandy loam,loamy sand
64301648,CY,NO,NO,YES,YES,18,25,22,53,Yes,2015,silt loam,silty loam
64301618,CY,NO,NO,YES,YES,41,43,20,37,Yes,2015,clay,silty clay
64281660,CY,YES,NO,NO,NO,15,33,23,44,Yes,2009,clay loam,silty clay loam
64281654,CY,NO,NO,YES,YES,9,35,19,46,Yes,2015,silty clay loam,silty clay loam
64281652,CY,YES,NO,NO,NO,13,32,15,53,Yes,2009,silty clay loam,silty clay loam
64281648,CY,YES,NO,NO,NO,9,21,27,52,Yes,2009,silt loam,silty loam
64281620,CY,YES,NO,NO,NO,35,16,57,27,Yes,2009,sandy loam,silty loam
64261660,CY,NO,NO,YES,YES,20,25,38,38,Yes,2015,loam,silty loam
64261646,CY,NO,NO,YES,YES,20,14,55,31,Yes,2015,sandy loam,silty loam
64261634,CY,YES,NO,NO,NO,34,16,58,26,Yes,2009,sandy loam,silty loam
64241656,CY,NO,NO,YES,YES,29,27,40,32,Yes,2015,loam,silty clay loam
64241648,CY,YES,NO,NO,NO,31,22,46,32,Yes,2009,loam,silty loam
64241638,CY,YES,NO,NO,YES,41,24,46,30,Yes,2009,loam,silty loam
64241634,CY,NO,NO,NO,YES,,,,,No,,,
64241632,CY,YES,NO,NO,NO,46,26,40,33,Yes,2009,loam,silty loam
64221656,CY,YES,NO,NO,NO,34,41,31,28,Yes,2009,clay,silty clay
64221650,CY,NO,NO,YES,YES,21,29,36,35,Yes,2015,clay loam,silty clay loam
64221626,CY,YES,NO,NO,NO,38,6,76,19,Yes,2009,loamy sand,loamy sand
64221616,CY,YES,NO,NO,NO,25,30,10,59,Yes,2009,silty clay loam,silty clay loam
64221614,CY,NO,NO,YES,NO,17,14,66,20,Yes,2015,sandy loam,loam
64201652,CY,YES,NO,NO,NO,11,17,39,44,Yes,2009,loam,silty loam
64201640,CY,YES,NO,NO,YES,30,9,64,27,Yes,2009,sandy loam,silty loam
64201632,CY,YES,NO,NO,YES,61,19,45,36,Yes,2009,loam,silty loam
64181630,CY,NO,NO,YES,NO,20,20,49,31,Yes,2015,loam,silty loam
64161658,CY,YES,NO,YES,YES,19,23,45,32,Yes,2009,loam,silty loam
64161654,CY,YES,NO,NO,NO,21,34,30,36,Yes,2009,clay loam,silty clay loam
64161652,CY,NO,NO,YES,YES,18,34,24,42,Yes,2015,clay loam,silty clay loam
64161616,CY,NO,NO,YES,NO,30,19,41,41,Yes,2015,loam,silty loam
64141632,CY,YES,NO,YES,YES,23,19,54,27,Yes,2009,sandy loam,silty loam
64141618,CY,YES,NO,NO,NO,31,24,35,40,Yes,2009,loam,silty loam
64121612,CY,YES,NO,YES,YES,37,29,28,43,Yes,2009,clay loam,silty clay loam
64121610,CY,YES,NO,NO,NO,23,32,28,40,Yes,2009,clay loam,silty clay loam
64101654,CY,YES,NO,NO,NO,45,23,55,22,Yes,2009,sandy clay loam,loam
64101650,CY,NO,NO,YES,NO,26,8,66,25,Yes,2015,sandy loam,silty loam
64101646,CY,YES,NO,NO,NO,39,10,67,23,Yes,2009,sandy loam,loamy sand
64101632,CY,YES,NO,NO,YES,20,12,58,30,Yes,2009,sandy loam,silty loam
64101622,CY,YES,NO,NO,NO,55,7,65,28,Yes,2009,sandy loam,silty loam
64101618,CY,NO,NO,YES,YES,18,29,30,41,Yes,2015,clay loam,silty clay loam
64101616,CY,YES,NO,NO,NO,26,26,33,40,Yes,2009,loam,silty loam
64081656,CY,YES,NO,NO,NO,28,41,29,30,Yes,2009,clay,silty clay
64081650,CY,NO,NO,YES,YES,16,25,30,44,Yes,2015,loam,silty loam
64081622,CY,NO,NO,YES,YES,17,27,35,37,Yes,2015,loam,silty clay loam
64081610,CY,YES,NO,NO,NO,24,27,23,49,Yes,2009,silt loam,silty clay loam
64081606,CY,YES,NO,NO,NO,28,25,34,41,Yes,2009,loam,silty loam
64061656,CY,NO,NO,YES,YES,11,27,30,43,Yes,2015,loam,silty clay loam
64061618,CY,NO,NO,YES,NO,34,13,61,26,Yes,2015,sandy loam,silty loam
64061612,CY,NO,NO,NO,YES,,,,,No,,,
64061610,CY,NO,NO,YES,YES,16,31,29,40,Yes,2015,clay loam,silty clay loam
64061606,CY,NO,NO,YES,YES,20,21,38,41,Yes,2015,loam,silty loam
64041624,CY,NO,NO,YES,YES,9,13,49,38,Yes,2015,loam,silty loam
64021624,CY,YES,NO,NO,NO,50,11,59,30,Yes,2009,sandy loam,silty loam
64001608,CY,NO,NO,YES,NO,18,30,22,48,Yes,2015,clay loam,silty clay loam
63981622,CY,YES,NO,NO,NO,36,25,35,40,Yes,2009,loam,silty loam
63981616,CY,YES,NO,NO,NO,29,30,27,43,Yes,2009,clay loam,silty clay loam
63981608,CY,YES,NO,NO,NO,34,18,48,33,Yes,2009,loam,silty loam
63961644,CY,YES,NO,NO,NO,27,6,69,25,Yes,2009,sandy loam,silty loam
63961626,CY,YES,NO,NO,YES,27,7,62,31,Yes,2009,sandy loam,silty loam
63961622,CY,NO,NO,YES,YES,23,33,29,38,Yes,2015,clay loam,silty clay loam
63961606,CY,NO,NO,YES,YES,19,39,17,44,Yes,2015,silty clay loam,silty clay loam
63941646,CY,NO,NO,YES,YES,21,9,63,27,Yes,2015,sandy loam,silty loam
63941630,CY,YES,NO,YES,NO,45,13,56,31,Yes,2009,sandy loam,silty loam
63941628,CY,NO,NO,YES,NO,28,14,60,26,Yes,2015,sandy loam,silty loam
63941604,CY,YES,NO,NO,NO,20,23,27,50,Yes,2009,silt loam,silty loam
63921638,CY,YES,NO,YES,NO,27,9,66,25,Yes,2009,sandy loam,silty loam
63921610,CY,YES,NO,NO,NO,16,20,39,42,Yes,2009,loam,silty loam
63921608,CY,NO,NO,YES,YES,33,30,24,46,Yes,2015,clay loam,silty clay loam
63901616,CY,YES,NO,YES,NO,26,33,27,40,Yes,2009,clay loam,silty clay loam
63901606,CY,YES,NO,NO,NO,23,24,36,40,Yes,2009,loam,silty loam
63901600,CY,YES,NO,NO,NO,25,17,43,39,Yes,2009,loam,silty loam
63881608,CY,NO,NO,YES,YES,9,21,48,31,Yes,2015,loam,silty loam
63881600,CY,YES,NO,YES,YES,19,30,22,48,Yes,2009,clay loam,silty clay loam
63861612,CY,NO,NO,YES,NO,12,26,35,39,Yes,2015,loam,silty loam
63861608,CY,YES,NO,NO,NO,34,30,22,48,Yes,2009,clay loam,silty clay loam
63801600,CY,YES,NO,NO,NO,17,29,32,39,Yes,2009,clay loam,silty clay loam
63801598,CY,NO,NO,YES,YES,12,31,34,35,Yes,2015,clay loam,silty clay loam
63761620,CY,YES,NO,NO,NO,29,25,30,45,Yes,2009,loam,silty loam
63761602,CY,YES,NO,NO,NO,19,34,30,37,Yes,2009,clay loam,silty clay loam
63761600,CY,NO,NO,YES,YES,18,29,33,39,Yes,2015,clay loam,silty clay loam
63741622,CY,NO,NO,YES,YES,28,38,19,42,Yes,2015,silty clay loam,silty clay loam
63741606,CY,NO,NO,YES,YES,35,37,27,35,Yes,2015,clay loam,silty clay loam
63721606,CY,YES,NO,NO,NO,28,34,33,32,Yes,2009,clay loam,silty clay loam
63681618,CY,YES,NO,YES,YES,6,41,8,51,Yes,2009,silty clay,silty clay
63681608,CY,YES,NO,NO,NO,40,31,24,44,Yes,2009,clay loam,silty clay loam
63661612,CY,NO,NO,YES,YES,12,42,16,42,Yes,2015,silty clay,silty clay
63641618,CY,YES,NO,NO,NO,5,41,11,48,Yes,2009,silty clay,silty clay
63641612,CY,YES,NO,NO,NO,27,39,12,49,Yes,2009,silty clay loam,silty clay loam
63641606,CY,NO,NO,YES,YES,19,38,29,34,Yes,2015,clay loam,silty clay loam
63621622,CY,NO,NO,YES,NO,16,38,18,44,Yes,2015,silty clay loam,silty clay loam
63621618,CY,NO,NO,YES,YES,22,39,21,40,Yes,2015,clay loam,silty clay loam
63621610,CY,NO,NO,YES,NO,16,27,28,45,Yes,2015,loam,silty clay loam
63601620,CY,YES,NO,NO,NO,27,31,20,49,Yes,2009,silty clay loam,silty clay loam
63601616,CY,YES,NO,NO,NO,24,32,17,50,Yes,2009,silty clay loam,silty clay loam
63601614,CY,NO,NO,YES,YES,33,30,27,43,Yes,2015,clay loam,silty clay loam
63601608,CY,YES,NO,NO,NO,20,41,27,32,Yes,2009,clay,silty clay
63581632,CY,YES,NO,NO,YES,40,33,40,26,Yes,2009,clay loam,silty clay loam
63581624,CY,NO,NO,YES,YES,17,25,46,30,Yes,2015,loam,silty loam
63561622,CY,YES,NO,NO,NO,8,16,67,17,Yes,2009,sandy loam,loam
63541612,CY,YES,NO,NO,NO,33,33,15,52,Yes,2009,silty clay loam,silty clay loam
58082628,RO,NO,YES,YES,NO,1,24,10,66,Yes,2012,silt loam,silty loam
58062624,RO,NO,YES,NO,NO,,16,5,79,Yes,2012,silt loam,silty loam
58042632,RO,NO,YES,YES,NO,3,45,33,22,Yes,2012,clay,clay
58022456,BG,NO,YES,NO,NO,,48,0,52,Yes,2012,silty clay,silty clay
58002602,RO,NO,YES,YES,NO,7,22,6,72,Yes,2012,silt loam,silty loam
57981494,EL,NO,NO,NO,YES,,,,,No,,,
57981484,EL,YES,NO,YES,YES,22,21,60,20,Yes,2009,sandy clay loam,loam
57962548,RO,NO,YES,YES,YES,2,26,3,71,Yes,2012,silt loam,silty loam
57962494,RO,NO,YES,YES,NO,36,80,2,18,Yes,2012,clay,clay
57962444,BG,NO,YES,NO,NO,2,60,1,39,Yes,2012,clay,silty clay
57942574,RO,NO,YES,YES,NO,,50,4,46,Yes,2012,silty clay,silty clay
57942502,RO,NO,YES,YES,YES,1,22,22,56,Yes,2012,silt loam,silty loam
57942484,RO,NO,YES,YES,NO,36,56,2,42,Yes,2012,silty clay,silty clay
57941494,EL,YES,NO,NO,NO,5,28,10,61,Yes,2009,silty clay loam,silty clay loam
57922630,RO,NO,YES,YES,NO,,53,5,42,Yes,2012,silty clay,silty clay
57922616,RO,NO,YES,NO,NO,1,30,7,63,Yes,2012,silty clay loam,silty clay loam
57922576,RO,NO,YES,YES,NO,8,20,6,74,Yes,2012,silt loam,silty loam
57922522,RO,NO,YES,YES,NO,15,57,2,41,Yes,2012,silty clay,silty clay
57902548,RO,NO,YES,YES,NO,24,26,4,70,Yes,2012,silt loam,silty loam
57902542,RO,NO,YES,YES,NO,5,32,18,50,Yes,2012,silty clay loam,silty clay loam
57902484,RO,NO,YES,YES,NO,21,60,1,39,Yes,2012,clay,silty clay
57902278,BG,NO,YES,NO,NO,,13,71,16,Yes,2012,sandy loam,loam
57882594,RO,NO,YES,NO,NO,16,30,4,66,Yes,2012,silty clay loam,silty clay loam
57882562,RO,NO,YES,YES,NO,,6,4,90,Yes,2012,silt,silty loam
57882508,RO,NO,YES,YES,NO,40,77,2,21,Yes,2012,clay,clay
57882288,BG,NO,YES,NO,NO,,9,45,46,Yes,2012,loam,silty loam
57862632,RO,NO,YES,YES,NO,1,46,7,47,Yes,2012,silty clay,silty clay
57842474,BG,NO,YES,YES,YES,,56,0,44,Yes,2012,silty clay,silty clay
57842460,BG,NO,YES,YES,YES,82,46,1,53,Yes,2012,silty clay,silty clay
57841488,EL,YES,NO,YES,YES,6,29,12,59,Yes,2009,silty clay loam,silty clay loam
57822534,RO,NO,YES,NO,NO,11,54,3,43,Yes,2012,silty clay,silty clay
57822498,RO,NO,YES,NO,NO,18,31,48,21,Yes,2012,sandy clay loam,clay loam
57822440,BG,NO,YES,YES,YES,52,51,4,45,Yes,2012,silty clay,silty clay
57821498,EL,YES,NO,YES,YES,38,17,54,29,Yes,2009,sandy loam,silty loam
57802622,RO,NO,YES,YES,NO,13,32,7,61,Yes,2012,silty clay loam,silty clay loam
57802554,RO,NO,YES,YES,NO,31,26,21,53,Yes,2012,silt loam,silty loam
57802466,BG,NO,YES,YES,YES,,44,1,55,Yes,2012,silty clay,silty clay
57782632,RO,NO,YES,YES,NO,,25,10,65,Yes,2012,silt loam,silty loam
57782434,BG,NO,YES,NO,NO,,20,19,61,Yes,2012,silt loam,silty loam
57762610,RO,NO,YES,NO,NO,16,17,6,77,Yes,2012,silt loam,silty loam
57762538,RO,NO,YES,YES,YES,54,67,4,29,Yes,2012,clay,silty clay
57762496,RO,NO,YES,YES,NO,5,61,3,36,Yes,2012,clay,silty clay
57762456,BG,NO,YES,YES,YES,9,9,1,90,Yes,2012,silt,silty loam
57742526,RO,NO,YES,YES,NO,11,41,11,48,Yes,2012,silty clay,silty clay
57742428,BG,NO,YES,YES,YES,2,20,16,64,Yes,2012,silt loam,silty loam
57742306,BG,NO,YES,NO,NO,1,39,22,39,Yes,2012,clay loam,silty clay loam
57722452,BG,NO,YES,YES,YES,,44,1,55,Yes,2012,silty clay,silty clay
57722448,BG,NO,YES,YES,YES,,43,1,56,Yes,2012,silty clay,silty clay
57722286,BG,NO,YES,YES,NO,1,19,28,53,Yes,2012,silt loam,silty loam
57702602,RO,NO,YES,YES,NO,27,52,25,23,Yes,2012,clay,clay
57702570,RO,NO,YES,YES,NO,,68,6,26,Yes,2012,clay,silty clay
57702504,RO,NO,YES,NO,NO,2,57,4,39,Yes,2012,clay,silty clay
57702486,RO,NO,YES,NO,NO,17,62,3,35,Yes,2012,clay,silty clay
57702274,BG,NO,YES,YES,YES,,16,48,36,Yes,2012,loam,silty loam
57682628,RO,NO,NO,NO,YES,,,,,No,,,
57682612,RO,NO,YES,NO,NO,30,57,11,32,Yes,2012,clay,silty clay
57682458,BG,NO,YES,YES,YES,,53,1,46,Yes,2012,silty clay,silty clay
57662604,RO,NO,YES,YES,NO,4,72,8,20,Yes,2012,clay,clay
57662572,RO,NO,YES,YES,NO,,15,6,79,Yes,2012,silt loam,silty loam
57662474,BG,NO,YES,YES,YES,1,37,1,62,Yes,2012,silty clay loam,silty clay loam
57662420,BG,NO,YES,YES,YES,,51,2,47,Yes,2012,silty clay,silty clay
57642614,RO,NO,YES,NO,NO,,25,8,67,Yes,2012,silt loam,silty loam
57642530,RO,NO,YES,YES,NO,1,24,5,71,Yes,2012,silt loam,silty loam
57642498,RO,NO,YES,YES,NO,29,23,3,74,Yes,2012,silt loam,silty loam
57642434,BG,NO,YES,YES,YES,,54,1,45,Yes,2012,silty clay,silty clay
57642386,BG,NO,YES,NO,NO,,30,42,28,Yes,2012,clay loam,silty clay loam
57641480,EL,NO,NO,YES,YES,14,24,40,36,Yes,2015,loam,silty loam
57622568,RO,NO,YES,YES,NO,,30,6,64,Yes,2012,silty clay loam,silty clay loam
57622546,RO,NO,YES,NO,NO,19,28,4,68,Yes,2012,silty clay loam,silty clay loam
57622520,RO,NO,YES,YES,YES,22,35,15,50,Yes,2012,silty clay loam,silty clay loam
57622366,BG,NO,YES,YES,NO,,11,52,37,Yes,2012,loam,silty loam
57621488,EL,YES,NO,YES,YES,19,28,16,55,Yes,2009,silty clay loam,silty clay loam
57602548,RO,NO,YES,YES,NO,54,38,7,55,Yes,2012,silty clay loam,silty clay loam
57602506,RO,NO,YES,NO,NO,13,51,4,45,Yes,2012,silty clay,silty clay
57582636,RO,NO,YES,YES,NO,,54,7,39,Yes,2012,clay,silty clay
57582622,RO,NO,YES,NO,NO,,53,13,34,Yes,2012,clay,silty clay
57582586,RO,NO,YES,NO,YES,,30,6,64,Yes,2012,silty clay loam,silty clay loam
57582484,RO,NO,YES,NO,NO,24,12,3,85,Yes,2012,silt,silty loam
57582316,BG,NO,YES,NO,NO,,32,27,41,Yes,2012,clay loam,silty clay loam
57582298,BG,NO,YES,NO,NO,1,49,16,35,Yes,2012,clay,silty clay
57562608,RO,NO,YES,YES,NO,11,64,8,28,Yes,2012,clay,silty clay
57562540,RO,NO,YES,YES,NO,1,32,7,61,Yes,2012,silty clay loam,silty clay loam
57542506,RO,NO,YES,NO,NO,10,32,6,62,Yes,2012,silty clay loam,silty clay loam
57542430,BG,NO,YES,YES,YES,,47,1,52,Yes,2012,silty clay,silty clay
57542404,BG,NO,YES,YES,YES,,6,37,57,Yes,2012,silt loam,silty loam
57542394,BG,NO,YES,YES,YES,,14,73,13,Yes,2012,sandy loam,loam
57542308,BG,NO,YES,YES,YES,19,52,7,41,Yes,2012,silty clay,silty clay
57542296,BG,NO,YES,NO,YES,,31,39,30,Yes,2012,clay loam,silty clay loam
57522588,RO,NO,YES,YES,NO,,48,6,46,Yes,2012,silty clay,silty clay
57522472,BG,NO,YES,YES,NO,,7,1,92,Yes,2012,silt,silty loam
57522444,BG,NO,YES,YES,YES,,8,1,91,Yes,2012,silt,silty loam
57522354,BG,NO,YES,YES,YES,1,8,7,85,Yes,2012,silt,silty loam
57522274,BG,NO,YES,YES,NO,,44,3,53,Yes,2012,silty clay,silty clay
57502524,RO,NO,YES,YES,NO,8,48,12,40,Yes,2012,clay,silty clay
57501486,EL,YES,NO,YES,YES,20,38,12,50,Yes,2009,silty clay loam,silty clay loam
57482612,RO,NO,YES,YES,NO,6,38,10,52,Yes,2012,silty clay loam,silty clay loam
57482582,RO,NO,YES,YES,YES,1,22,5,73,Yes,2012,silt loam,silty loam
57482576,RO,NO,YES,YES,YES,22,32,8,60,Yes,2012,silty clay loam,silty clay loam
57482568,RO,NO,YES,YES,YES,,22,4,74,Yes,2012,silt loam,silty loam
57482558,RO,NO,YES,YES,NO,7,25,7,68,Yes,2012,silt loam,silty loam
57482496,RO,NO,YES,YES,NO,1,26,4,70,Yes,2012,silt loam,silty loam
57482478,BG,NO,YES,NO,NO,,46,2,52,Yes,2012,silty clay,silty clay
57482424,BG,NO,YES,NO,YES,,49,1,50,Yes,2012,silty clay,silty clay
57482360,BG,NO,YES,YES,YES,,57,16,27,Yes,2012,clay,silty clay
57462606,RO,NO,YES,YES,NO,,33,7,60,Yes,2012,silty clay loam,silty clay loam
57462494,RO,NO,YES,YES,NO,20,61,7,32,Yes,2012,clay,silty clay
57462462,BG,NO,YES,YES,NO,,45,1,54,Yes,2012,silty clay,silty clay
57462440,BG,NO,YES,NO,YES,,46,1,53,Yes,2012,silty clay,silty clay
57462416,BG,NO,YES,YES,YES,,45,4,51,Yes,2012,silty clay,silty clay
57462398,BG,NO,YES,YES,YES,,21,13,66,Yes,2012,silt loam,silty loam
57462386,BG,NO,YES,YES,YES,20,62,6,32,Yes,2012,clay,silty clay
57461486,EL,NO,NO,YES,YES,30,43,14,43,Yes,2015,silty clay,silty clay
57442564,RO,NO,YES,YES,NO,,6,43,51,Yes,2012,silt loam,silty loam
57442502,RO,NO,YES,YES,NO,27,32,7,61,Yes,2012,silty clay loam,silty clay loam
57442466,BG,NO,YES,YES,YES,,8,1,91,Yes,2012,silt,silty loam
57442366,BG,NO,YES,YES,YES,,16,67,17,Yes,2012,sandy loam,loam
57442340,BG,NO,YES,NO,YES,53,32,37,31,Yes,2012,clay loam,silty clay loam
57442294,BG,NO,YES,YES,YES,8,13,39,48,Yes,2012,loam,silty loam
57422524,RO,NO,YES,YES,NO,1,20,44,36,Yes,2012,loam,silty loam
57422516,RO,NO,YES,YES,NO,8,40,7,53,Yes,2012,silty clay loam,silty clay loam
57422498,RO,NO,YES,YES,NO,28,23,5,72,Yes,2012,silt loam,silty loam
57422462,BG,NO,YES,YES,YES,,11,1,88,Yes,2012,silt,silty loam
57422426,BG,NO,YES,YES,NO,,45,1,54,Yes,2012,silty clay,silty clay
57422350,BG,NO,YES,YES,YES,45,5,43,52,Yes,2012,silt loam,silty loam
57402622,RO,NO,YES,NO,NO,,31,9,60,Yes,2012,silty clay loam,silty clay loam
57402510,RO,NO,YES,YES,NO,2,25,5,70,Yes,2012,silt loam,silty loam
57382612,RO,NO,YES,YES,NO,1,29,7,64,Yes,2012,silty clay loam,silty clay loam
57382576,RO,NO,YES,YES,NO,44,8,0,92,Yes,2012,silt,silty loam
57382482,BG,NO,YES,YES,YES,,13,1,86,Yes,2012,silt loam,silty loam
57382436,BG,NO,YES,YES,YES,,46,1,53,Yes,2012,silty clay,silty clay
57382428,BG,NO,YES,YES,YES,1,46,1,53,Yes,2012,silty clay,silty clay
57382392,BG,NO,YES,YES,YES,,56,7,37,Yes,2012,clay,silty clay
57362596,RO,NO,YES,NO,NO,91,18,0,82,Yes,2012,silt loam,silty loam
57362584,RO,NO,YES,YES,NO,26,24,24,52,Yes,2012,silt loam,silty loam
57362448,BG,NO,YES,YES,YES,,50,1,49,Yes,2012,silty clay,silty clay
57362326,BG,NO,YES,YES,YES,14,60,11,29,Yes,2012,clay,silty clay
57361504,EL,NO,NO,YES,YES,15,39,20,42,Yes,2015,silty clay loam,silty clay loam
57342634,RO,NO,YES,YES,YES,43,1,91,8,Yes,2012,sand,loamy sand
57342408,BG,NO,YES,YES,YES,49,16,3,81,Yes,2012,silt loam,silty loam
57342364,BG,NO,YES,YES,YES,4,11,41,48,Yes,2012,loam,silty loam
57322470,BG,NO,YES,YES,YES,,44,1,55,Yes,2012,silty clay,silty clay
57322286,BG,NO,YES,YES,YES,,24,34,42,Yes,2012,loam,silty loam
57302564,RO,NO,YES,YES,NO,19,78,3,19,Yes,2012,clay,clay
57302532,RO,NO,YES,YES,NO,27,29,6,65,Yes,2012,silty clay loam,silty clay loam
57302492,RO,NO,YES,YES,NO,,57,3,40,Yes,2012,clay,silty clay
57302330,BG,NO,YES,YES,YES,1,10,19,71,Yes,2012,silt loam,silty loam
57282426,BG,NO,YES,YES,YES,,45,2,53,Yes,2012,silty clay,silty clay
57282404,BG,NO,YES,YES,YES,,6,1,93,Yes,2012,silt,silty loam
57282386,BG,NO,YES,YES,YES,,45,13,42,Yes,2012,silty clay,silty clay
57262658,RO,NO,YES,NO,YES,32,57,3,40,Yes,2012,clay,silty clay
57262622,RO,NO,YES,NO,NO,25,70,0,30,Yes,2012,clay,silty clay
57262538,RO,NO,YES,YES,YES,,27,5,68,Yes,2012,silt loam,silty clay loam
57262478,BG,NO,YES,YES,YES,9,38,1,61,Yes,2012,silty clay loam,silty clay loam
57262420,BG,NO,YES,NO,NO,,46,9,45,Yes,2012,silty clay,silty clay
57262394,BG,NO,YES,NO,NO,2,11,8,81,Yes,2012,silt,silty loam
57262276,BG,NO,YES,YES,YES,,19,50,31,Yes,2012,loam,silty loam
57242650,RO,NO,YES,YES,NO,1,28,4,68,Yes,2012,silty clay loam,silty clay loam
57242506,RO,NO,YES,YES,NO,,15,6,79,Yes,2012,silt loam,silty loam
57242300,BG,NO,YES,YES,YES,15,46,14,40,Yes,2012,clay,silty clay
57242282,BG,NO,YES,YES,YES,71,17,66,17,Yes,2012,sandy loam,loam
57241490,EL,YES,NO,YES,YES,25,12,53,35,Yes,2009,sandy loam,silty loam
57241480,EL,YES,NO,YES,YES,21,21,52,27,Yes,2009,sandy clay loam,silty loam
57222640,RO,NO,YES,YES,NO,70,24,6,70,Yes,2012,silt loam,silty loam
57222550,RO,NO,YES,YES,YES,,22,12,66,Yes,2012,silt loam,silty loam
57222448,BG,NO,YES,YES,YES,,47,1,52,Yes,2012,silty clay,silty clay
57202648,RO,NO,YES,YES,YES,52,10,1,89,Yes,2012,silt,silty loam
57202368,BG,NO,YES,NO,NO,,50,22,28,Yes,2012,clay,silty clay
57202284,BG,NO,YES,NO,NO,,5,68,27,Yes,2012,sandy loam,silty loam
