POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
36963252,UK,NO,NO,NO,YES,,,,,No,,,
36963230,UK,YES,NO,YES,YES,37,45,14,41,Yes,2009,silty clay,silty clay
36963018,FR,YES,NO,YES,YES,8,8,10,82,Yes,2009,silt,silty loam
36963004,FR,YES,NO,YES,YES,11,27,12,61,Yes,2009,silt loam,silty clay loam
36962982,FR,YES,NO,YES,YES,18,21,16,63,Yes,2009,silt loam,silty loam
36962928,FR,YES,NO,YES,YES,33,20,22,58,Yes,2009,silt loam,silty loam
36962914,FR,YES,NO,YES,YES,33,25,31,44,Yes,2009,loam,silty loam
36962892,FR,YES,NO,NO,NO,13,16,8,76,Yes,2009,silt loam,silty loam
36962888,FR,YES,NO,YES,YES,11,19,8,72,Yes,2009,silt loam,silty loam
36962856,FR,YES,NO,YES,YES,17,23,7,70,Yes,2009,silt loam,silty loam
36962834,FR,YES,NO,YES,NO,4,21,6,73,Yes,2009,silt loam,silty loam
36962824,FR,YES,NO,YES,YES,6,27,3,70,Yes,2009,silt loam,silty clay loam
36962806,FR,YES,NO,YES,YES,20,37,10,53,Yes,2009,silty clay loam,silty clay loam
36962780,FR,YES,NO,YES,YES,,40,12,48,Yes,2009,silty clay loam,silty clay loam
36962716,FR,YES,NO,YES,YES,4,15,64,21,Yes,2009,sandy loam,loam
36962690,FR,YES,NO,YES,YES,26,42,12,46,Yes,2009,silty clay,silty clay
36962636,FR,YES,NO,YES,NO,13,19,46,35,Yes,2009,loam,silty loam
36962410,FR,NO,NO,NO,YES,,,,,No,,,
36962388,FR,YES,NO,NO,NO,15,12,64,24,Yes,2009,sandy loam,loam
36962384,FR,YES,NO,YES,YES,6,28,40,32,Yes,2009,clay loam,silty clay loam
36962366,FR,YES,NO,NO,NO,11,19,33,47,Yes,2009,loam,silty loam
36962352,FR,YES,NO,YES,NO,4,14,57,30,Yes,2009,sandy loam,silty loam
36962320,FR,NO,NO,NO,YES,,,,,No,,,
